DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
CHINA WOK RESTAURANT,Brooklyn,869,NOSTRAND AVENUE,11225.0,2021-08-24,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,Cycle Inspection / Initial Inspection
CHINA WOK RESTAURANT,Brooklyn,869,NOSTRAND AVENUE,11225.0,2021-08-24,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
CHINA WOK RESTAURANT,Brooklyn,869,NOSTRAND AVENUE,11225.0,2021-08-24,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
CHINA WOK RESTAURANT,Brooklyn,869,NOSTRAND AVENUE,11225.0,2021-08-24,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection
NEW YEE LI RESTAURANT,Brooklyn,6619,FORT HAMILTON PARKWAY,11219.0,2021-09-09,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
