DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
NEW KAM SHENG,Bronx,454,WEST  238 STREET,10463.0,2023-04-17,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Re-inspection
CHINA KING,Bronx,1213,EAST  233 STREET,10466.0,2023-12-11,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Compliance Inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Initial Inspection
NEW KAM SHENG,Bronx,454,WEST  238 STREET,10463.0,2023-04-17,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Re-inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Initial Inspection
MING WONG,Bronx,29,WEST BURNSIDE AVENUE,10453.0,2023-05-22,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Initial Inspection
MING WONG,Bronx,29,WEST BURNSIDE AVENUE,10453.0,2023-05-22,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,Cycle Inspection / Initial Inspection
NEW ORIENTAL HOUSE,Bronx,565,EAST  184 STREET,10458.0,2023-10-10,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,Cycle Inspection / Re-inspection
HAPPY GARDEN,Bronx,1236-1238,SPOFFORD AVE,10474.0,2023-03-08,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Initial Inspection
HAPPY GARDEN,Bronx,1236-1238,SPOFFORD AVE,10474.0,2023-03-08,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
CHINA KING,Bronx,1213,EAST  233 STREET,10466.0,2023-12-11,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Compliance Inspection
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,2023-07-11,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
HAPPY GARDEN,Bronx,1236-1238,SPOFFORD AVE,10474.0,2023-03-08,Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Initial Inspection
GREAT WALL NYC,Bronx,159,WEST TREMONT AVENUE,10453.0,2023-02-14,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Re-inspection
