DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2024-01-30,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
NEW FLOWER CHINESE RESTAURANT,Bronx,4733,WHITE PLAINS ROAD,10470.0,2024-07-25,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,2024-06-11,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,Cycle Inspection / Initial Inspection
YUN NAN FLAVOUR GARDEN,Brooklyn,5121,8 AVENUE,11220.0,2024-08-15,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,Cycle Inspection / Re-inspection
