DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2025-01-10,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2025-01-10,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2025-01-10,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2025-01-10,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2025-01-10,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Initial Inspection
NEW NO. 1 CHINA WOK,Bronx,64,WEST KINGSBRIDGE ROAD,10468.0,2025-01-17,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,Cycle Inspection / Initial Inspection
MAIYAMI BAKERY,Brooklyn,6613,18 AVENUE,11204.0,2025-01-03,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW MEI MEI CHINESE RESTAURANT,Brooklyn,3566,NOSTRAND AVENUE,11229.0,2025-03-19,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
NEW MEI MEI CHINESE RESTAURANT,Brooklyn,3566,NOSTRAND AVENUE,11229.0,2025-03-19,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,Cycle Inspection / Initial Inspection
GOLDEN DRAGON,Brooklyn,394,METROPOLITAN AVENUE,11211.0,2025-02-05,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Cycle Inspection / Re-inspection
EMPIRE CHINESE,Brooklyn,2702,AVENUE U,11229.0,2025-02-04,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Re-inspection
EMPIRE CHINESE,Brooklyn,2702,AVENUE U,11229.0,2025-02-04,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Re-inspection
MAIYAMI BAKERY,Brooklyn,6613,18 AVENUE,11204.0,2025-01-03,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
MAIYAMI BAKERY,Brooklyn,6613,18 AVENUE,11204.0,2025-01-03,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Initial Inspection
GOLDEN DRAGON,Brooklyn,394,METROPOLITAN AVENUE,11211.0,2025-02-05,"Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.",Not Critical,Cycle Inspection / Re-inspection
GOLDEN DRAGON,Brooklyn,394,METROPOLITAN AVENUE,11211.0,2025-02-05,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Re-inspection
