DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
A FEI CHINESE RESTAURANT,Brooklyn,553,THROOP AVENUE,11216.0,[Timestamp('2022-02-16 00:00:00')],"['Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.', 'Food not protected from potential source of contamination during storage, preparation, transportation, display or service.', ""Evidence of mice or live mice present in facility's food and/or non-food areas.""]","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
ANPANMAN BAKERY CAFE,Manhattan,83,CANAL STREET,10002.0,[Timestamp('2022-06-08 00:00:00')],"[""Evidence of mice or live mice present in facility's food and/or non-food areas."", 'Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.', 'Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.', 'Food Protection Certificate not held by supervisor of food operations.', 'Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
BING & NOODLES BY CHOW HOUSE,Manhattan,240,SULLIVAN STREET,10012.0,[Timestamp('2022-07-06 00:00:00')],"['Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Not Critical', 'Critical']",['Pre-permit (Operational) / Re-inspection']
BROOKLYN DUMPLING SHOP,Manhattan,131,1 AVENUE,10003.0,[Timestamp('2022-10-25 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
CAROL'S BUN,Manhattan,139,EAST BROADWAY,10002.0,[Timestamp('2022-04-11 00:00:00')],"['Hot food item not held at or above 140º F.', 'Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', ""Evidence of mice or live mice present in facility's food and/or non-food areas."", 'Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.', 'Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.', 'Food contact surface not properly maintained.', 'Food not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
CHOPSTICK,Brooklyn,884,REMSEN AVENUE,11236.0,[Timestamp('2022-05-31 00:00:00')],"['Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.', 'Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.', 'Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.']",['Critical'],['Cycle Inspection / Initial Inspection']
DA PAI DONG,Queens,7700,QUEENS BLVD,11373.0,"[Timestamp('2022-05-12 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-10-07 00:00:00'), Timestamp('2022-08-26 00:00:00')]","['Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food not protected from potential source of contamination during storage, preparation, transportation, display or service.', ""Evidence of rats or live rats in establishment's food or non-food areas."", ""Evidence of mice or live mice present in facility's food and/or non-food areas."", 'Hot food item not held at or above 140º F.', ""Live roaches present in facility's food and/or non-food areas."", 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', ""Evidence of rats or live rats present in facility's food and/or non-food areas."", 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.']","['Not Critical', 'Critical']","['Pre-permit (Operational) / Initial Inspection', 'Pre-permit (Operational) / Reopening Inspection']"
DELICIOUS CHINESE RESTAURANT,Manhattan,1974A,2 AVENUE,10029.0,[Timestamp('2022-05-03 00:00:00')],"['Food not protected from potential source of contamination during storage, preparation, transportation, display or service.', ""Live roaches present in facility's food and/or non-food areas."", 'Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.', ""Evidence of rats or live rats present in facility's food and/or non-food areas."", 'Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.', 'Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
DELUXE GREEN BO,Manhattan,66,BAYARD STREET,10013.0,[Timestamp('2022-07-25 00:00:00')],"['Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Hot TCS food item not held at or above 140 °F.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.', 'Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
DONG YUE SEAFOOD RESTAURANT,Queens,13614,38TH AVE,11354.0,[Timestamp('2022-12-13 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Thawing procedure improper.', 'Hot TCS food item not held at or above 140 °F.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.']","['Not Critical', 'Critical']",['Pre-permit (Operational) / Compliance Inspection']
