DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
#1 GARDEN CHINESE RESTAURANT,Brooklyn,221,PROSPECT PARK WEST,11215.0,[Timestamp('2023-02-09 00:00:00')],"['Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Thawing procedure improper.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Hot TCS food item not held at or above 140 °F.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
BURP BOWL,Manhattan,134,EAST   27 STREET,10016.0,[Timestamp('2023-07-25 00:00:00')],"['Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Compliance Inspection']
CHEF TAN,Manhattan,37,SAINT MARKS PLACE,10003.0,[Timestamp('2023-01-09 00:00:00')],"['Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.']","['Not Critical', 'Critical']",['Pre-permit (Operational) / Initial Inspection']
CHINA 1,Brooklyn,2851,86 STREET,11223.0,[Timestamp('2023-03-14 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
CHINA GOURMET,Queens,24515,FRANCIS LEWIS BLVD,11422.0,[Timestamp('2023-03-30 00:00:00')],"['Live animal other than fish in tank or service animal present in facility’s food or non-food area.', 'Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.', 'Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Hot TCS food item not held at or above 140 °F.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
CHINA KING,Bronx,1213,EAST  233 STREET,10466.0,[Timestamp('2023-12-11 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'No approved written standard operating procedure for avoiding contamination by refillable returnable containers.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.']","['Critical', 'Not Critical']",['Cycle Inspection / Compliance Inspection']
DI DI RESTAURANT,Brooklyn,2318,NOSTRAND AVENUE,11210.0,[Timestamp('2023-01-09 00:00:00')],"['Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
DOU DOU KITCHEN,Queens,4226,COLLEGE POINT BLVD,11355.0,[Timestamp('2023-11-30 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment', ""Live roaches in facility's food or non-food area."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
E-NOODLE,Manhattan,26,JEFFERSON STREET,10002.0,"[Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-05 00:00:00')]","['Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', ""Live roaches in facility's food or non-food area.""]","['Not Critical', 'Critical']","['Pre-permit (Operational) / Reopening Inspection', 'Pre-permit (Operational) / Re-inspection']"
FRIENDLY RESTAURANT,Queens,1205,40TH AVE,11101.0,[Timestamp('2023-03-15 00:00:00')],"[""Live roaches in facility's food or non-food area."", ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Hot TCS food item not held at or above 140 °F.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
